ECG Time [s],ECG [mV],PPG Time [s],PPG0,PPG1,PPG2,HRB Time [s],HRB Heartrate [bpm],HRB RR Interval [ms],Dosha,Peak Variability [bpm/s],Dosha Alignment,Synthetic Dosha
2.885539,0.239,2.884738,557.392,480.804,743.42,3.855163,83,903,Pitta,14.0,1,Pitta
4.798949,0.426,4.53327,748.398,666.056,688.671,3.911568,55,1034,Kapha,28.0,0,Unknown
2.787025,0.775,3.425211,355.654,299.049,538.411,3.9878,87,760,Vata,32.0,1,Vata
3.088725,1.0,3.470561,505.167,482.665,614.235,3.993884,98,857,Vata,11.0,0,Unknown
3.100903,0.996,3.621125,558.075,431.966,347.31,4.018417,95,825,Vata,3.0,0,Unknown
3.378197,0.467,3.852536,336.312,686.003,207.158,4.035355,86,839,Vata,9.0,0,Unknown
3.453526,0.723,3.92138,406.775,504.264,568.935,4.050153,86,872,Vata,0.0,0,Unknown
5.112029,0.352,4.552298,698.015,638.939,844.868,4.075572,66,916,Kapha,20.0,0,Unknown
3.485017,0.934,4.041036,260.943,374.753,617.072,4.101192,91,874,Vata,25.0,1,Vata
3.813501,0.82,4.070224,290.575,257.048,570.238,4.107523,96,871,Vata,5.0,0,Unknown
3.903096,0.097,4.331905,540.559,275.623,271.425,4.122821,94,843,Vata,2.0,0,Unknown
4.161678,0.341,4.346813,290.719,312.658,576.714,4.142754,86,852,Vata,8.0,0,Unknown
5.216374,0.214,4.694526,630.193,511.747,750.153,4.168799,68,1018,Kapha,18.0,0,Unknown
4.234125,-0.045,4.391755,462.582,325.483,584.461,4.229517,95,780,Vata,27.0,1,Vata
3.058493,0.414,3.030444,556.63,503.209,744.428,4.270814,72,918,Pitta,23.0,0,Unknown
3.226339,0.331,3.148903,353.611,704.685,672.867,4.2755,84,942,Pitta,12.0,1,Pitta
5.377906,0.346,4.696469,582.205,752.798,500.85,4.282021,62,1025,Kapha,22.0,0,Unknown
3.267963,0.676,3.154464,511.741,489.642,317.578,4.303904,84,948,Pitta,22.0,0,Unknown
3.324953,-0.005,3.163186,526.183,323.612,587.535,4.318849,78,940,Pitta,6.0,1,Pitta
5.389545,0.205,5.287594,576.502,495.405,614.873,4.365743,61,923,Kapha,17.0,0,Unknown
3.369721,0.398,3.34241,666.821,388.22,693.292,4.388551,74,876,Pitta,13.0,1,Pitta
5.411742,0.05,5.311339,718.186,676.421,647.021,4.437791,68,901,Kapha,6.0,0,Unknown
4.271319,0.945,4.409805,554.523,625.308,529.27,4.446325,88,801,Vata,20.0,1,Vata
4.36578,0.527,4.567852,253.438,480.611,583.058,4.535017,86,838,Vata,2.0,0,Unknown
4.427794,0.074,4.617192,483.656,461.695,622.961,4.541984,90,825,Vata,4.0,0,Unknown
5.462179,0.596,5.667746,775.637,526.623,427.609,4.557617,62,991,Kapha,28.0,0,Unknown
3.42703,0.362,3.42566,720.009,777.952,308.644,4.55961,82,857,Pitta,20.0,0,Unknown
4.442679,0.606,4.71471,328.281,257.384,506.802,4.6183,92,878,Vata,10.0,0,Unknown
4.473039,0.542,4.806891,681.463,630.07,244.302,4.618768,94,771,Vata,2.0,0,Unknown
3.546349,0.153,3.434202,572.491,335.203,574.842,4.779236,83,881,Pitta,11.0,1,Pitta
3.550624,0.64,3.464465,343.391,477.466,728.882,4.805371,76,933,Pitta,7.0,1,Pitta
3.654116,0.578,3.543009,418.425,551.59,537.051,4.842507,81,913,Pitta,5.0,1,Pitta
3.655723,0.56,3.732305,382.467,546.64,302.053,4.863574,83,859,Pitta,2.0,0,Unknown
4.618795,0.23,4.862773,441.773,561.407,443.814,4.868951,88,789,Vata,5.0,0,Unknown
5.46824,0.076,5.909679,739.259,877.811,877.319,4.871267,67,1048,Kapha,21.0,0,Unknown
3.66628,0.689,3.834057,362.308,301.98,305.507,4.964298,75,862,Pitta,8.0,1,Pitta
4.664078,-0.064,4.897799,602.996,233.834,238.825,5.01326,99,850,Vata,24.0,1,Vata
5.488977,0.043,5.983572,499.205,414.316,464.289,5.020859,58,1016,Kapha,41.0,0,Unknown
4.707383,0.606,4.942863,475.113,553.918,403.772,5.073923,89,860,Vata,31.0,1,Vata
5.741407,0.527,5.995913,646.994,499.864,748.731,5.222014,60,952,Kapha,29.0,0,Unknown
4.880927,0.424,5.219206,221.706,471.769,403.553,5.303097,88,878,Vata,28.0,1,Vata
3.821086,0.551,3.854315,482.95,550.581,508.318,5.371212,79,912,Pitta,9.0,1,Pitta
5.862437,0.181,6.143668,795.82,521.155,653.116,5.392697,69,945,Kapha,10.0,0,Unknown
5.010043,0.727,5.27199,516.576,240.863,233.005,5.483489,87,814,Vata,18.0,1,Vata
5.046408,0.424,5.36466,675.702,429.15,374.41,5.524019,89,898,Vata,2.0,0,Unknown
4.001633,0.109,4.135673,414.697,491.886,377.504,5.53614,84,942,Pitta,5.0,1,Pitta
5.048398,0.823,5.48921,500.806,442.348,255.499,5.557529,98,828,Vata,14.0,0,Unknown
4.042612,0.535,4.247486,409.152,786.04,632.225,5.639456,74,884,Pitta,24.0,0,Unknown
4.078398,0.177,4.460077,327.347,379.58,654.4,5.643589,76,910,Pitta,2.0,0,Unknown
5.090263,0.462,5.634043,609.594,282.887,604.118,5.695076,93,771,Vata,17.0,1,Vata
4.086541,0.118,4.497603,308.835,477.077,388.94,5.705619,80,903,Pitta,13.0,1,Pitta
4.149214,-0.034,4.518086,351.384,509.741,744.267,5.87142,75,857,Pitta,5.0,1,Pitta
6.061695,0.39,6.262287,637.852,607.034,412.816,5.926143,67,944,Kapha,8.0,0,Unknown
6.230363,0.197,6.268944,668.312,516.365,862.374,6.01016,57,908,Kapha,10.0,0,Unknown
6.365523,0.235,6.343474,785.568,645.675,825.918,6.012681,65,905,Kapha,8.0,0,Unknown
6.785984,0.157,6.357355,730.633,836.233,662.129,6.013695,67,950,Kapha,2.0,1,Kapha
6.900656,0.206,6.388906,604.672,756.032,514.471,6.041616,62,1018,Kapha,5.0,0,Unknown
4.254958,0.57,4.644693,386.099,495.347,520.954,6.069829,79,878,Pitta,17.0,0,Unknown
5.120848,0.473,6.150584,642.103,672.849,673.844,6.082374,92,848,Vata,13.0,0,Unknown
5.30955,0.852,6.27407,314.04,624.988,236.158,6.113586,92,757,Vata,0.0,0,Unknown
5.417386,0.284,6.295811,306.022,534.511,677.558,6.154078,92,766,Vata,0.0,0,Unknown
4.478306,0.54,4.648978,515.492,632.915,371.423,6.210777,71,944,Pitta,21.0,0,Unknown
7.012726,0.246,6.415192,847.706,689.981,460.811,6.232427,58,934,Kapha,13.0,0,Unknown
4.60337,0.111,4.752789,555.26,407.756,682.126,6.271673,82,890,Pitta,24.0,0,Unknown
4.917944,0.574,4.776305,370.296,410.536,694.987,6.273772,82,879,Pitta,0.0,0,Unknown
4.944358,0.726,5.1161,512.392,664.605,619.648,6.31591,82,935,Pitta,0.0,0,Unknown
5.472366,-0.039,6.395582,505.49,431.148,461.288,6.320729,96,766,Vata,14.0,0,Unknown
5.477201,-0.165,6.418838,405.514,405.883,349.783,6.323593,92,839,Vata,4.0,0,Unknown
5.023496,-0.003,5.373961,470.874,550.145,726.733,6.342036,72,870,Pitta,20.0,0,Unknown
5.586166,0.706,6.628447,619.931,525.487,238.431,6.354348,91,890,Vata,19.0,1,Vata
7.048554,0.432,6.441667,481.284,444.502,581.696,6.397156,57,981,Kapha,34.0,0,Unknown
5.055323,0.109,5.433568,391.712,507.578,668.686,6.44486,71,925,Pitta,14.0,1,Pitta
7.414349,0.307,6.623654,897.758,746.996,527.714,6.489621,58,1046,Kapha,13.0,0,Unknown
7.556438,0.566,6.734464,459.426,483.207,653.346,6.538298,60,924,Kapha,2.0,1,Kapha
5.289129,0.575,5.489251,303.42,384.602,741.103,6.610327,81,860,Pitta,21.0,0,Unknown
7.582209,0.025,6.742978,407.475,793.184,883.205,6.621303,65,1038,Kapha,16.0,0,Unknown
5.620486,0.544,6.715177,650.012,472.716,450.312,6.625912,92,894,Vata,27.0,1,Vata
7.630871,0.302,6.940513,845.009,525.028,687.477,6.632482,61,916,Kapha,31.0,0,Unknown
7.819437,0.351,7.539669,522.477,608.524,844.966,6.634751,61,935,Kapha,0.0,1,Kapha
7.820443,0.552,7.670984,764.85,575.235,725.439,6.708022,68,995,Kapha,7.0,0,Unknown
5.468438,0.147,5.506656,533.509,393.764,516.944,6.760412,72,851,Pitta,4.0,0,Unknown
5.638916,0.645,7.038491,376.711,231.137,597.258,6.79821,95,830,Vata,23.0,1,Vata
7.855875,0.029,7.929707,805.508,829.407,637.623,6.857477,69,920,Kapha,26.0,0,Unknown
7.956239,0.344,8.036473,829.493,463.272,827.304,6.878397,66,917,Kapha,3.0,1,Kapha
5.666578,0.056,7.212543,318.435,456.251,553.543,6.923679,98,827,Vata,32.0,1,Vata
8.010933,0.512,8.296532,895.797,682.822,635.684,6.933402,58,1045,Kapha,40.0,0,Unknown
8.102288,0.145,8.302714,547.02,471.031,834.314,6.963208,62,900,Kapha,4.0,1,Kapha
5.478528,0.462,5.818726,642.826,305.276,673.799,6.970834,70,899,Pitta,8.0,1,Pitta
5.83059,-0.036,7.234013,590.263,603.202,225.113,7.032234,92,755,Vata,22.0,1,Vata
8.155965,0.526,8.337594,755.122,752.398,545.788,7.047724,61,1041,Kapha,31.0,0,Unknown
5.860327,-0.183,7.326595,337.403,429.62,236.451,7.053078,97,859,Vata,36.0,1,Vata
8.175034,0.011,8.670913,457.7,852.539,464.407,7.177826,56,1035,Kapha,41.0,0,Unknown
5.550026,-0.027,5.821093,413.139,345.713,799.876,7.193282,77,890,Pitta,21.0,0,Unknown
5.850462,0.307,6.151752,365.903,578.419,662.466,7.195312,75,915,Pitta,2.0,0,Unknown
8.496681,0.439,8.737724,603.405,617.304,827.657,7.264878,67,950,Kapha,8.0,0,Unknown
8.584884,0.56,8.782384,823.986,644.046,693.708,7.29067,62,978,Kapha,5.0,0,Unknown
8.621258,0.394,8.813794,583.829,863.711,844.546,7.337323,63,935,Kapha,1.0,1,Kapha
5.915654,0.565,6.192999,743.521,745.937,357.092,7.375313,82,947,Pitta,19.0,0,Unknown
6.280558,0.518,6.225381,437.512,443.582,559.159,7.397036,71,852,Pitta,11.0,1,Pitta
8.630068,0.263,9.442711,695.548,660.496,868.914,7.566162,59,961,Kapha,12.0,0,Unknown
6.380238,0.634,6.264922,411.806,463.874,593.674,7.569186,77,929,Pitta,18.0,0,Unknown
8.972959,0.027,9.494445,651.887,643.799,426.814,7.623376,69,1028,Kapha,8.0,0,Unknown
8.991768,0.552,9.594795,722.976,689.165,650.485,7.645247,58,984,Kapha,11.0,0,Unknown
6.672525,0.69,6.384706,728.548,357.803,387.105,7.691107,75,900,Pitta,17.0,0,Unknown
6.741869,0.596,6.569458,708.554,494.315,781.446,7.714775,76,917,Pitta,1.0,0,Unknown
6.812439,0.504,6.669053,524.173,318.611,387.79,7.724832,80,936,Pitta,4.0,0,Unknown
5.87005,0.221,7.511148,611.307,225.978,401.437,7.80484,98,763,Vata,18.0,1,Vata
9.20189,0.282,9.618542,886.447,744.615,587.482,7.844084,58,941,Kapha,40.0,0,Unknown
9.281091,0.017,9.713737,427.868,453.442,712.929,7.910197,67,900,Kapha,9.0,0,Unknown
9.345097,0.414,9.759133,686.981,810.555,796.796,7.91579,58,953,Kapha,9.0,0,Unknown
9.379886,0.289,9.884041,831.514,617.753,540.295,8.003317,60,999,Kapha,2.0,1,Kapha
9.405777,0.075,10.028059,640.691,436.174,678.399,8.003954,65,938,Kapha,5.0,0,Unknown
9.51217,0.129,10.182314,439.264,793.091,754.364,8.37854,58,906,Kapha,7.0,0,Unknown
6.848398,-0.071,6.716075,544.619,758.8,388.779,8.409926,70,933,Pitta,12.0,1,Pitta
9.666001,0.039,10.256694,680.27,588.475,467.216,8.417101,61,1049,Kapha,9.0,0,Unknown
6.04668,0.508,7.732192,411.869,593.139,347.645,8.419471,92,821,Vata,31.0,1,Vata
9.863561,0.345,10.271085,566.037,450.184,807.033,8.463588,61,1020,Kapha,31.0,0,Unknown
6.885216,0.381,6.921768,408.874,636.556,757.584,8.491272,76,874,Pitta,15.0,0,Unknown
10.208564,0.373,10.356547,477.471,716.89,703.055,8.537173,59,944,Kapha,17.0,0,Unknown
6.987536,-0.066,7.094304,339.151,795.374,532.603,8.559261,72,879,Pitta,13.0,1,Pitta
6.988671,0.627,7.141278,586.716,741.412,331.594,8.569447,80,931,Pitta,8.0,1,Pitta
6.067361,0.271,7.770895,533.775,300.682,316.192,8.570518,96,892,Vata,16.0,1,Vata
10.209158,0.303,10.537588,824.517,840.066,874.769,8.668542,67,973,Kapha,29.0,0,Unknown
10.231823,0.49,10.75078,660.8,843.877,569.764,8.69392,59,1019,Kapha,8.0,0,Unknown
7.301718,0.189,7.171852,349.172,536.495,599.094,8.734051,81,860,Pitta,22.0,0,Unknown
10.240646,0.517,10.825429,866.638,878.832,454.073,8.836429,69,971,Kapha,12.0,0,Unknown
7.522521,0.406,7.465313,524.637,559.843,600.913,8.847156,77,942,Pitta,8.0,1,Pitta
10.245617,0.369,10.839294,803.008,833.853,653.251,8.903123,64,1037,Kapha,13.0,0,Unknown
7.625774,0.152,7.476803,770.249,395.288,332.25,8.908991,75,866,Pitta,11.0,1,Pitta
7.65421,0.604,7.478846,776.417,531.02,786.261,8.917993,73,875,Pitta,2.0,0,Unknown
7.715789,0.698,7.492205,419.666,751.514,572.015,9.032675,80,872,Pitta,7.0,1,Pitta
7.830274,0.259,7.745172,612.057,325.427,579.898,9.087457,77,905,Pitta,3.0,0,Unknown
10.266149,0.008,10.940111,746.486,401.07,442.905,9.095275,62,1041,Kapha,15.0,0,Unknown
6.088293,0.325,7.805174,247.768,329.31,340.502,9.221463,94,803,Vata,32.0,1,Vata
7.937277,0.677,7.753428,537.038,731.778,560.058,9.248851,78,901,Pitta,16.0,0,Unknown
6.187432,0.885,7.85242,511.93,282.353,601.741,9.289717,91,776,Vata,13.0,0,Unknown
6.473486,0.218,7.874693,425.884,365.108,664.614,9.372394,96,762,Vata,5.0,0,Unknown
7.975683,0.14,7.863518,737.843,470.474,605.366,9.385615,79,897,Pitta,17.0,0,Unknown
6.603115,0.417,7.894061,493.304,578.376,402.551,9.388603,85,809,Vata,6.0,0,Pitta
6.671849,0.74,7.962945,284.007,459.693,653.056,9.569536,88,755,Vata,3.0,0,Unknown
6.808411,0.276,8.379075,568.437,302.441,360.748,9.621924,97,807,Vata,9.0,0,Unknown
10.369203,0.417,11.169902,402.513,590.121,884.763,9.623633,61,945,Kapha,36.0,0,Unknown
6.952144,0.547,8.549733,631.399,638.915,438.218,9.627757,97,798,Vata,36.0,1,Vata
6.964358,0.835,8.900592,308.37,639.791,313.014,9.681768,88,775,Vata,9.0,0,Unknown
8.121326,0.381,7.884743,435.715,749.756,432.15,9.730244,71,869,Pitta,17.0,0,Unknown
8.141299,0.673,7.999609,301.851,770.44,443.621,9.816505,84,851,Pitta,13.0,1,Pitta
10.414329,0.251,11.179007,613.912,809.271,419.342,9.854464,68,1022,Kapha,16.0,0,Unknown
8.257784,0.193,8.000668,381.281,635.432,555.67,9.874689,75,937,Pitta,7.0,1,Pitta
10.565357,0.339,11.20398,498.743,583.127,776.752,9.879281,61,1017,Kapha,14.0,0,Unknown
10.571664,0.389,11.282466,855.399,700.774,662.551,9.880216,60,974,Kapha,1.0,1,Kapha
7.024021,0.939,9.063474,247.857,635.289,520.238,9.917069,89,796,Vata,29.0,1,Vata
10.64891,0.21,11.332211,487.292,703.158,584.31,9.932118,61,905,Kapha,28.0,0,Unknown
7.051575,-0.024,9.233754,211.819,319.398,689.491,9.944891,94,754,Vata,33.0,1,Vata
10.717733,0.55,11.335789,543.03,582.513,432.921,10.026005,61,920,Kapha,33.0,0,Unknown
7.08989,0.912,9.516306,520.986,425.62,501.747,10.041422,90,769,Vata,29.0,1,Vata
8.354811,0.759,8.012054,474.761,632.212,703.343,10.092666,74,880,Pitta,16.0,0,Unknown
8.519656,0.01,8.223168,457.861,526.377,324.932,10.147492,74,876,Pitta,0.0,0,Unknown
8.577653,-0.084,8.233629,695.681,717.77,601.702,10.16379,79,851,Pitta,5.0,1,Pitta
7.129075,0.391,9.572681,503.547,692.495,378.907,10.183706,88,883,Vata,9.0,0,Unknown
10.779557,0.08,11.341037,658.418,852.237,711.083,10.187558,64,1046,Kapha,24.0,0,Unknown
7.175655,0.11,9.645594,473.349,586.006,523.909,10.19286,99,808,Vata,35.0,1,Vata
10.787869,0.403,11.42742,531.682,651.614,692.61,10.1932,68,1002,Kapha,31.0,0,Unknown
8.589681,0.714,8.33814,640.28,780.806,703.389,10.215549,80,927,Pitta,12.0,1,Pitta
7.191922,0.351,9.811432,315.974,213.584,261.46,10.301634,86,895,Vata,6.0,0,Unknown
8.833624,-0.038,8.359169,449.778,687.541,378.459,10.346783,72,853,Pitta,14.0,1,Pitta
10.799977,0.003,11.506407,504.932,632.392,540.442,10.456721,56,987,Kapha,16.0,0,Unknown
8.90162,0.793,8.381542,528.872,610.968,307.511,10.476655,81,862,Pitta,25.0,0,Unknown
10.873083,0.555,11.639637,699.55,898.757,855.111,10.49981,68,998,Kapha,13.0,0,Unknown
8.94845,0.756,8.612685,347.78,603.396,456.357,10.562381,77,949,Pitta,9.0,1,Pitta
9.08227,0.023,9.506882,749.073,724.735,594.072,10.564958,83,884,Pitta,6.0,1,Pitta
11.131559,0.068,11.734239,444.465,646.75,552.055,10.638675,64,961,Kapha,19.0,0,Unknown
11.149923,0.057,11.844224,429.084,489.199,624.863,10.693986,56,1006,Kapha,8.0,0,Unknown
7.322294,0.976,9.817429,395.453,232.602,644.33,10.755195,90,881,Vata,34.0,1,Vata
7.623631,0.391,10.022037,497.238,431.966,451.542,10.761361,99,766,Vata,9.0,0,Unknown
8.251257,0.195,10.022514,448.383,654.61,424.675,10.761881,92,763,Vata,7.0,0,Unknown
11.283514,0.2,11.929712,586.123,656.535,671.881,10.817408,68,982,Kapha,24.0,0,Unknown
11.361653,0.224,11.935009,760.332,807.008,450.116,10.959783,64,955,Kapha,4.0,1,Kapha
9.11317,0.384,9.638017,767.712,570.602,369.142,10.990172,77,921,Pitta,13.0,1,Pitta
9.235171,0.066,9.813228,789.902,701.93,513.061,11.004321,81,915,Pitta,4.0,0,Unknown
8.369632,0.56,10.048955,693.893,469.351,492.932,11.006532,99,762,Vata,18.0,1,Vata
